"GEO_ID","NAME","H063001","H063001A",
"Geography","Label for GEO_ID","Median gross rent","Annotation of Median gross rent",
"0500000US06001","Alameda County, California","852","null",
"0500000US06003","Alpine County, California","659","null",
"0500000US06005","Amador County, California","685","null",
"0500000US06007","Butte County, California","563","null",
"0500000US06009","Calaveras County, California","599","null",
"0500000US06011","Colusa County, California","494","null",
"0500000US06013","Contra Costa County, California","898","null",
"0500000US06015","Del Norte County, California","519","null",
"0500000US06017","El Dorado County, California","702","null",
"0500000US06019","Fresno County, California","534","null",
"0500000US06021","Glenn County, California","458","null",
"0500000US06023","Humboldt County, California","537","null",
"0500000US06025","Imperial County, California","504","null",
"0500000US06027","Inyo County, California","516","null",
"0500000US06029","Kern County, California","518","null",
"0500000US06031","Kings County, California","533","null",
"0500000US06033","Lake County, California","567","null",
"0500000US06035","Lassen County, California","561","null",
"0500000US06037","Los Angeles County, California","704","null",
"0500000US06039","Madera County, California","562","null",
"0500000US06041","Marin County, California","1162","null",
"0500000US06043","Mariposa County, California","502","null",
"0500000US06045","Mendocino County, California","600","null",
"0500000US06047","Merced County, California","518","null",
"0500000US06049","Modoc County, California","429","null",
"0500000US06051","Mono County, California","682","null",
"0500000US06053","Monterey County, California","776","null",
"0500000US06055","Napa County, California","818","null",
"0500000US06057","Nevada County, California","746","null",
"0500000US06059","Orange County, California","923","null",
"0500000US06061","Placer County, California","780","null",
"0500000US06063","Plumas County, California","525","null",
"0500000US06065","Riverside County, California","660","null",
"0500000US06067","Sacramento County, California","659","null",
"0500000US06069","San Benito County, California","765","null",
"0500000US06071","San Bernardino County, California","648","null",
"0500000US06073","San Diego County, California","761","null",
"0500000US06075","San Francisco County, California","928","null",
"0500000US06077","San Joaquin County, California","617","null",
"0500000US06079","San Luis Obispo County, California","719","null",
"0500000US06081","San Mateo County, California","1144","null",
"0500000US06083","Santa Barbara County, California","830","null",
"0500000US06085","Santa Clara County, California","1185","null",
"0500000US06087","Santa Cruz County, California","924","null",
"0500000US06089","Shasta County, California","563","null",
"0500000US06091","Sierra County, California","513","null",
"0500000US06093","Siskiyou County, California","471","null",
"0500000US06095","Solano County, California","797","null",
"0500000US06097","Sonoma County, California","864","null",
"0500000US06099","Stanislaus County, California","611","null",
"0500000US06101","Sutter County, California","506","null",
"0500000US06103","Tehama County, California","486","null",
"0500000US06105","Trinity County, California","487","null",
"0500000US06107","Tulare County, California","516","null",
"0500000US06109","Tuolumne County, California","611","null",
"0500000US06111","Ventura County, California","892","null",
"0500000US06113","Yolo County, California","687","null",
"0500000US06115","Yuba County, California","488","null",
